PLIK WEJSCIOWY	CZAS[ns]
./dataFiles/tsp_14.txt	1668100
./dataFiles/tsp_14.txt	1704400
./dataFiles/tsp_14.txt	1941800
./dataFiles/tsp_14.txt	1679500
./dataFiles/tsp_14.txt	1653400
./dataFiles/tsp_14.txt	1661900
./dataFiles/tsp_14.txt	1670000
./dataFiles/tsp_14.txt	1689200
./dataFiles/tsp_14.txt	1708100
./dataFiles/tsp_14.txt	1834700
./dataFiles/tsp_14.txt	1708300
./dataFiles/tsp_14.txt	1672400
./dataFiles/tsp_14.txt	1766000
./dataFiles/tsp_14.txt	1682300
./dataFiles/tsp_14.txt	1681200
./dataFiles/tsp_14.txt	1705700
./dataFiles/tsp_14.txt	1672900
./dataFiles/tsp_14.txt	1669100
./dataFiles/tsp_14.txt	1667300
./dataFiles/tsp_14.txt	1678500
./dataFiles/tsp_14.txt	1667200
./dataFiles/tsp_14.txt	1646900
./dataFiles/tsp_14.txt	1718300
./dataFiles/tsp_14.txt	1736400
Najkrotsza sciezka: 0 12 1 8 4 6 2 11 13 9 7 5 3 10 
Dlugosc tej sciezki to: 282

Jest gorsza (dluzsza) od optymalnej o: 0
./dataFiles/tsp_15.txt	6346000
./dataFiles/tsp_15.txt	5648200
./dataFiles/tsp_15.txt	5502800
./dataFiles/tsp_15.txt	5729300
./dataFiles/tsp_15.txt	5868100
Najkrotsza sciezka: 0 12 1 14 8 4 6 2 11 13 9 7 5 3 10 
Dlugosc tej sciezki to: 291

Jest gorsza (dluzsza) od optymalnej o: 0
./dataFiles/tsp_17.txt	19800
Najkrotsza sciezka: 0 11 1 9 10 12 2 13 7 8 16 5 6 14 4 3 15 
Dlugosc tej sciezki to: 58

Jest gorsza (dluzsza) od optymalnej o: 19
